,water_precursor_vol,water_NaOH_vol,water_K2CO3_vol,2Mprecursor_vol,2MNaOH_vol,0.45MK2CO3_vol,precursor_vol,NaOH_vol,K2CO3_vol,rate,total_vol,water_centri,precipitation_order,precursor_conc,NaOH_conc,K2CO3_conc,rfc,xgb,me,xrd,singlephase,319
1,4.21,0,1.24,0.5,0,3.33,4.71,0,4.57,3,9.28,0.26,0,0.21,0,0.33,TRUE,TRUE,,"spinel, ZnO",FALSE,19
2,1,0,4.3,0.5,0,3.33,1.5,0,7.63,5,9.13,0.41,0,0.67,0,0.2,TRUE,TRUE,,"spinel, ZnO,Fe2O3",FALSE,20
3,4.5,0,0,0.5,0,3.33,5,0,3.33,6,8.33,1.21,0,0.2,0,0.45,,,TRUE,spinel,FALSE,22
4,0.41,0,1.2,0.5,0,3.33,0.91,0,4.53,2,5.44,4.1,0,1.1,0,0.33,TRUE,TRUE,,spinel,FALSE,23
5,0.42,0,0.88,0.5,0,3.33,0.92,0,4.21,6,5.13,4.41,0,1.09,0,0.36,TRUE,TRUE,,"spinel,ZnO",FALSE,24
6,0.18,0,1.11,0.5,0,3.33,0.68,0,4.44,6,5.12,4.42,0,1.48,0,0.34,TRUE,TRUE,,"spinel, NaCl",FALSE,25
7,1.16,0,0.13,0.5,0,3.33,1.66,0,3.46,2,5.12,4.42,0,0.6,0,0.43,FALSE,TRUE,,"spinel,ZnO",FALSE,26
8,0,0,5.9,0.39,0,3.33,0.39,0,9.23,3,9.62,-0.08,0,2.57,0,0.16,FALSE,TRUE,,no,no,27
9,4.5,1,0,0.5,1,0,5,2,0,6,7,2.54,0,0.2,1,0,,,TRUE,spinel,TRUE,28
10,4.5,1,0,0.5,1,0,5,2,0,6,7,2.54,0,0.2,1,0,,,TRUE,spinel,TRUE,29
11,0.8,3.47,0,0.5,1,0,1.3,4.47,0,6,5.77,3.77,0,0.77,0.45,0,FALSE,TRUE,,spinel.Fe2O3,FALSE,30
12,0.5,1,0,0.5,1,0,1,2,0,1,3,6.54,0,1,1,0,,,TRUE,spinel.Fe2O3,FALSE,31
13,0.8,3.47,0,0.5,1,0,1.3,4.47,0,6,5.77,3.77,0,0.77,0.45,0,FALSE,TRUE,,spinel.Fe2O3,FALSE,32
14,0.46,0,1.67,0.5,0,3.33,0.96,0,5,6,5.96,3.58,0,1.04,0,0.3,FALSE,0.19,TRUE,0.72791964,,
15,0.23,0,1.51,0.5,0,3.33,0.73,0,4.84,2,5.57,3.97,0,1.37,0,0.31,FALSE,0.38,TRUE,0.72884315,,
16,0.38,0,1.36,0.5,0,3.33,0.88,0,4.69,2,5.57,3.97,0,1.13,0,0.32,FALSE,0.52,TRUE,0.72884315,,
17,4.26,1.11,0,0.5,1,0,4.76,2.11,0,3,6.87,2.67,0,0.21,0.95,0,FALSE,0.4,TRUE,0.8790409,,
18,1.32,5.45,0,0.5,1,0,1.82,6.45,0,3,8.27,1.27,0,0.55,0.31,0,FALSE,0.41,TRUE,0.6367854,,
19,4.76,1,0,0.5,1,0,5.26,2,0,3,7.26,2.28,0,0.19,1,0,FALSE,0.5,TRUE,0.79697466,,
20,0.68,4.56,0,0.5,1,0,1.18,5.56,0,5,6.74,2.8,0,0.85,0.36,0,FALSE,0.47,TRUE,0.93029284,,
21,0.66,4.41,0,0.5,1,0,1.16,5.41,0,4,6.57,2.97,0,0.86,0.37,0,FALSE,0.43,TRUE,0.8490669,,
22,0.43,5.67,0,0.5,1,0,0.93,6.67,0,2,7.6,1.94,0,1.08,0.3,0,FALSE,0.41,TRUE,0.6783345,,
23,0.49,3.55,0,0.5,1,0,0.99,4.55,0,4,5.54,4,0,1.01,0.44,0,FALSE,0.31,TRUE,0.8892722,,
24,6.17,0.1,0,0.5,1,0,6.67,1.1,0,6,7.77,1.77,0,0.15,1.81,0,TRUE,0.8,TRUE,0.94978064,,
25,5.38,0,0.33,0.5,0,3.33,5.88,0,3.66,6,9.54,0,0,0.17,0,0.41,TRUE,0.69,FALSE,0.428839,,
26,0.19,0.37,0,0.5,1,0,0.69,1.37,0,5,2.06,7.48,0,1.44,1.46,0,FALSE,0.44,FALSE,0.161369,,
27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,
