,water_precursor_vol,water_NaOH_vol,water_K2CO3_vol,2Mprecursor_vol,2MNaOH_vol,0.45MK2CO3_vol,precursor_vol,NaOH_vol,K2CO3_vol,rate,total_vol,water_centri,precipitation_order,precursor_conc,NaOH_conc,K2CO3_conc,rfc,xgb,me,Unnamed: 8,Unnamed: 9,Unnamed: 10
1,3.96,0,1.546666667,0.5,0,3.333333333,4.46,0,4.88,2,9.34,0,1,0.224299065,0,0.307167235,TRUE,TRUE,,,,
2,0.11,0,1.286666667,0.5,0,3.333333333,0.61,0,4.62,4,5.23,4.11,1,1.651376147,0,0.324909747,TRUE,TRUE,,,,
3,0.09,0,1.256666667,0.5,0,3.333333333,0.59,0,4.59,6,5.18,4.16,1,1.682242991,0,0.326876513,FALSE,TRUE,,,,
4,0,0,1.046666667,0.47,0,3.333333333,0.47,0,4.38,1,4.85,4.49,1,2.142857143,0,0.342639594,FALSE,TRUE,,,,
5,0.02,0,0.906666667,0.5,0,3.333333333,0.52,0,4.24,1,4.76,4.58,1,1.914893617,0,0.353866317,FALSE,TRUE,,,,
6,3.5,0,0,0.5,0,3.33,4,0,3.33,6,7.33,2.01,1,0.25,0,0.45,,,TRUE,,,
7,0.1,0,0,0.5,0,3.33,0.6,0,3.33,6,3.93,5.41,1,1.666666667,0,0.45,,,TRUE,,,
8,0,0,2.026666667,0.4,0,3.333333333,0.4,0,5.36,2,5.76,3.58,1,2.5,0,0.279937792,FALSE,TRUE,,,,
9,0.1,6.09,0,0.5,1,0,0.6,7.09,0,6,7.69,1.65,1,1.666666667,0.282131661,0,FALSE,TRUE,,,,
10,1.56,6.17,0,0.5,1,0,2.06,7.17,0,4,9.23,0.11,1,0.48582996,0.279069767,0,TRUE,FALSE,,,,
11,0.11,6.09,0,0.5,1,0,0.61,7.09,0,6,7.7,1.64,1,1.643835616,0.282021152,0,FALSE,TRUE,,,,
12,0.01,5.68,0,0.5,1,0,0.51,6.68,0,4,7.19,2.15,1,1.956521739,0.29925187,0,FALSE,TRUE,,,,
13,0.7,1,0,0.5,1,0,1.2,2,0,6,3.2,6.14,1,0.833333333,1,0,,,TRUE,,,
14,0.1,0,0,0.5,1,0,0.6,1,0,6,1.6,7.74,1,1.666666667,2,0,,,TRUE,,,
15,0.58,0,1.216666667,0.5,0,3.333333333,1.08,0,4.55,1,5.63,3.71,1,0.93,0,0.33,FALSE,0.52,TRUE,0.65423876,FALSE,0.52
16,0.22,0,1.836666667,0.5,0,3.333333333,0.72,0,5.17,2,5.89,3.45,1,1.39,0,0.29,FALSE,0.2,TRUE,0.65963036,FALSE,0.2
17,0.19,4.41,0,0.5,1,0,0.69,5.41,0,4,6.1,3.24,1,1.45,0.37,0,TRUE,0.62,TRUE,0.8067339,TRUE,0.62
18,7.19,0.64,0,0.5,1,0,7.69,1.64,0,4,9.33,0.01,1,0.13,1.22,0,FALSE,0.55,TRUE,0.6968801,FALSE,0.55
19,0.2,4.71,0,0.5,1,0,0.7,5.71,0,3,6.41,2.93,1,1.43,0.35,0,FALSE,0.57,TRUE,0.76309174,FALSE,0.57
20,0.42,3.76,0,0.5,1,0,0.92,4.76,0,5,5.68,3.66,1,1.09,0.42,0,FALSE,0.33,TRUE,0.8797276,FALSE,0.33
21,0.18,5.25,0,0.5,1,0,0.68,6.25,0,4,6.93,2.41,1,1.48,0.32,0,TRUE,0.66,FALSE,0.296887,TRUE,0.66
22,0.33,7.33,0,0.5,1,0,0.83,8.33,0,5,9.16,0.18,1,1.21,0.24,0,FALSE,0.44,FALSE,0.073907,FALSE,0.44
23,1.17,4.88,0,0.5,1,0,1.67,5.88,0,2,7.55,1.79,1,0.6,0.34,0,FALSE,0.47,FALSE,0.535951,FALSE,0.47
24,0.28,5.45,0,0.5,1,0,0.78,6.45,0,3,7.23,2.11,1,1.28,0.31,0,FALSE,0.55,FALSE,0.490474,FALSE,0.55
25,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
26,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
27,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
28,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
29,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
30,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
31,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
32,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,,,,,
